name,epoch,train_loss,matched_model_mae,matched_interp_mae,matched_model_peak_pct,matched_interp_peak_pct,matched_model_flow_pct,matched_interp_flow_pct
medium_vg_noisy,9,0.00018,0.0053,0.03619,8.01,4.88,1.89,4.03
medium_vg_noisy,10,0.00018,0.00543,0.03616,7.65,4.82,2.23,3.98
medium_vg_noisy,11,0.00017,0.00527,0.03615,7.7,4.84,3.14,4.14
medium_vg_noisy,12,0.00016,0.00528,0.03618,7.74,5.08,2.1,3.81
medium_vg_noisy,13,0.00015,0.00502,0.03618,7.0,5.01,1.91,4.1
medium_vg_noisy,14,0.00016,0.00536,0.03619,7.27,4.89,3.57,3.78
medium_vg_noisy,15,0.00015,0.00514,0.03617,6.46,4.86,2.63,3.95
medium_vg_noisy,16,0.00014,0.00486,0.03616,6.38,4.8,2.12,3.94
medium_vg_noisy,17,0.00015,0.00483,0.03616,6.95,4.92,2.22,4.1
medium_vg_noisy,18,0.00013,0.00481,0.03618,5.44,4.88,2.96,4.02
medium_vg_noisy,19,0.00013,0.00457,0.03615,5.58,4.72,1.63,3.77
medium_vg_noisy,20,0.00013,0.00493,0.03618,4.28,4.78,2.37,3.92
